Date,Close,High,Low,Open,Volume
,SBFG,SBFG,SBFG,SBFG,SBFG
2018-01-02,14.02190113067627,14.160048030705541,14.02190113067627,14.160048030705541,8715
2018-01-03,14.029581069946289,14.098653002191522,13.561415761593032,14.098653002191522,6090
2018-01-04,14.267497062683105,14.275173086813416,13.569087997324198,13.569087997324198,6405
2018-01-05,14.474717140197754,15.027304791521143,13.83770705861074,13.99120294528979,54285
2018-01-08,14.39029312133789,14.559139500274838,14.22912122847783,14.428667088771412,5145
2018-01-09,14.39029312133789,14.39029312133789,14.39029312133789,14.39029312133789,0
2018-01-10,14.282845497131348,14.390292911790407,14.10632463468796,14.390292911790407,9240
2018-01-11,14.428667068481445,14.428667068481445,14.213772236336279,14.313545166342767,1890
2018-01-12,14.098647117614746,14.428665349633494,14.098647117614746,14.374940879472714,4095
2018-01-16,14.382621765136719,14.382621765136719,13.83003553255938,14.00655645485136,10185
2018-01-17,14.382621765136719,14.382621765136719,14.382621765136719,14.382621765136719,0
2018-01-18,14.374943733215332,14.374943733215332,14.121674913582396,14.351920273189103,4725
2018-01-19,14.321216583251953,14.351916057986262,14.044922847691923,14.351916057986262,5670
2018-01-22,14.428667068481445,14.428667068481445,14.321219652408862,14.321219652408862,420
2018-01-23,14.428667068481445,14.428667068481445,14.275171198963207,14.275171198963207,1785
2018-01-24,14.420991897583008,14.428666383284652,14.374941909275117,14.390292417727418,3675
2018-01-25,14.420991897583008,14.428666383284652,14.374941909275117,14.382616394976763,3570
2018-01-26,14.58216667175293,14.58216667175293,14.213775875763325,14.574492183721787,9450
2018-01-29,14.029581069946289,14.582167287254933,13.929806573132128,14.582167287254933,15015
2018-01-30,13.799331665039062,14.24447030536032,13.799331665039062,14.121673916080036,4830
2018-01-31,14.497743606567383,14.497743606567383,14.497743606567383,14.497743606567383,630
2018-02-01,14.27517318725586,14.490066512282988,13.853056413188737,14.490066512282988,2625
2018-02-02,14.344243049621582,14.505414941569764,14.106324760289654,14.505414941569764,4935
2018-02-05,13.507691383361816,14.344245878094618,13.162322536214349,14.344245878094618,10710
2018-02-06,14.39029312133789,14.39029312133789,13.438613810429468,13.592111217212642,10395
2018-02-07,14.067953109741211,14.244472465775926,14.067953109741211,14.244472465775926,525
2018-02-08,13.791656494140625,14.037250797556363,13.699558053966342,14.006551317498268,16170
2018-02-09,14.083300590515137,14.160048529445897,13.853055236673693,13.853055236673693,370020
2018-02-12,14.236798286437988,14.236798286437988,14.00655292805186,14.160048808943149,184590
2018-02-13,14.113995552062988,14.221442939554994,14.006548164570983,14.006548164570983,13335
2018-02-14,14.044928550720215,14.213774961795647,14.006554575982532,14.198424449670947,55125
2018-02-15,14.148962020874023,14.210613654831388,14.102724067093202,14.210613654831388,5145
2018-02-16,14.079605102539062,14.241440264845341,14.064192964878698,14.241440264845341,18480
2018-02-20,14.44951057434082,14.64216997451242,14.133547923360046,14.133547923360046,32025
2018-02-21,14.634471893310547,14.642177964847827,14.29539085529488,14.495756432139354,23625
2018-02-22,14.888775825500488,15.02749121929121,14.642170852469677,14.642170852469677,30765
2018-02-23,14.503457069396973,14.988961001583368,14.503457069396973,14.911897228335405,62580
2018-02-26,14.973549842834473,15.027493870283612,14.696119006311596,14.742356964607223,14700
2018-02-27,14.703821182250977,14.973545878203803,14.534279988891319,14.973545878203803,2625
2018-02-28,14.287681579589844,14.911901082301256,14.218323857066354,14.911901082301256,12075
2018-03-01,13.956299781799316,14.295382156865765,13.90235422711298,14.071895414646203,28245
2018-03-02,14.218318939208984,14.256850822464019,13.948594213049422,13.948594213049422,10710
2018-03-05,14.264558792114258,14.34162411227258,13.956303684979071,14.071899350154766,61425
2018-03-06,14.064191818237305,14.580521538380953,14.05648575003539,14.372448436683111,18060
