Date,Close,High,Low,Open,Volume
,HSTM,HSTM,HSTM,HSTM,HSTM
2018-11-26,23.49380111694336,23.819692343416424,23.37529436022543,23.671558426618763,127000
2018-11-27,23.67156219482422,23.780193248808224,23.158037856902766,23.404925246065478,129300
2018-11-28,24.17521095275879,24.402346882357474,23.50367700124863,23.562931326570933,214100
2018-11-29,24.16533660888672,24.4813540444765,23.888823942697403,24.09620844233939,126700
2018-11-30,24.333221435546875,24.501104942161664,23.93820197398307,24.214716538878417,241700
2018-12-03,24.530729293823242,24.87637198938797,24.155459435689714,24.481352573143063,223800
2018-12-04,24.086332321166992,24.678862413112807,23.85919638239482,24.392474030226428,341900
2018-12-06,25.360267639160156,25.409644353277788,23.53330096279432,23.83944073424561,276200
2018-12-07,24.61960792541504,25.449149608561715,24.293716684436063,25.271390407372987,254600
2018-12-10,25.01462745666504,25.212138099817352,24.56035561445625,24.619608053961507,178500
2018-12-11,25.13313865661621,25.587410579028226,24.78749591187583,25.251643556549162,183600
2018-12-12,25.617034912109375,25.962677618615484,25.30101936910992,25.3701475336909,127900
2018-12-13,25.666412353515625,26.05155607188764,25.50840457758858,25.69603951785242,132900
2018-12-14,25.04425811767578,25.804669867782717,24.94550278230045,25.45902901937109,127500
2018-12-17,24.214712142944336,25.044253803434184,24.04682866680708,25.044253803434184,124600
2018-12-18,24.076452255249023,24.589978367842253,23.898694954982965,24.431970622982934,109400
2018-12-19,23.73081398010254,24.698611989793,23.543179057047908,24.06658094405247,103100
2018-12-20,23.691314697265625,23.799945756106553,23.167912730742792,23.671563253185205,201500
2018-12-21,22.990154266357422,24.027080543315275,22.960527101678146,23.76044171200567,330500
2018-12-24,22.881521224975586,23.22716391513435,22.822268784365864,22.970400827690728,55700
2018-12-26,23.503679275512695,23.592558888495162,22.772892811569,23.04940737235905,113000
2018-12-27,23.661684036254883,23.661684036254883,22.802517065272937,23.23703935285523,94500
2018-12-28,23.701190948486328,24.07645897638607,23.414800653730104,23.720942393007743,74500
2018-12-31,23.849321365356445,24.066583472859488,23.523430087703176,23.829569922201387,99500
2019-01-02,24.01720428466797,24.07645672910019,23.533305240668803,23.59255768510102,148100
2019-01-03,23.602432250976562,23.997451667188496,23.316043880573343,23.948074946512435,102800
2019-01-04,24.135711669921875,24.264092283384716,23.513554394983075,23.740692224342403,95700
2019-01-07,24.16533660888672,24.55048221102383,23.770317168901077,24.12583560668879,89200
2019-01-08,24.382596969604492,24.441849410463966,24.04682999873225,24.343094086630753,64300
2019-01-09,24.412221908569336,24.84674419722898,24.40234618796331,24.50110151042247,68300
2019-01-10,24.60973358154297,24.69861318710899,24.372721927900642,24.619609302561546,58900
2019-01-11,24.481353759765625,24.985002362639243,24.372722708682442,24.6196100912524,46100
2019-01-14,24.135711669921875,24.441851504795803,23.987579613279735,24.372723337269555,49900
2019-01-15,24.303598403930664,24.520858657010834,24.135714881768223,24.14559060467208,68800
2019-01-16,24.47147560119629,24.64923291671789,24.323341679526703,24.451724160493537,54100
2019-01-17,24.747989654541016,24.866496421946195,24.38259739861061,24.38259739861061,77500
2019-01-18,24.945499420166016,24.975126581865897,24.62948389643836,24.797367378868813,57100
2019-01-22,24.589981079101562,24.846744163708543,24.362845156272694,24.846744163708543,68400
2019-01-23,24.61960792541504,24.935623445927853,24.560355486219155,24.580105043550397,62400
2019-01-24,25.15288734436035,25.212141675871248,24.619611545971782,24.629487267890266,99600
2019-01-25,25.241762161254883,25.538028111704957,25.152882564479963,25.28126504142196,42100
2019-01-28,24.7084903717041,25.123261261046903,24.471478704022687,25.064006931425574,45300
2019-01-29,24.35297393798828,24.85662447972301,24.29372148707874,24.708492410648432,48900
2019-01-30,24.520854949951172,24.599858837636667,24.145586954345386,24.362847174580182,49600
2019-01-31,24.846750259399414,24.985006614413695,24.510983211277672,24.510983211277672,76600
2019-02-01,24.767742156982422,24.89612276720116,24.422099444484093,24.85662176544203,88200
2019-02-04,25.024503707885742,25.034379428612905,24.402346487282426,24.777616340510075,79300
2019-02-05,25.478775024414062,25.814541987678528,25.143008061149597,25.143008061149597,128300
2019-02-06,25.281267166137695,25.488651653641078,25.172636120149548,25.488651653641078,49300
2019-02-07,24.985000610351562,25.281266578818066,24.905996728814053,25.13313453638537,32700
2019-02-08,25.182514190673828,25.182514190673828,24.80724618053857,24.85662290590328,42100
2019-02-11,25.557781219482422,25.59728410513849,25.182513223756104,25.182513223756104,51100
2019-02-12,25.952802658081055,25.99230366031309,25.52815605337938,25.666412386593407,93500
2019-02-13,25.84416961669922,26.150309423942034,25.69603757342696,26.130557982545433,91700
2019-02-14,25.9923038482666,26.110810623022182,25.765167903886464,25.765167903886464,72300
2019-02-15,26.545330047607422,26.723089261102313,26.021930011873813,26.179937783069004,84100
2019-02-19,26.634204864501953,26.881092198044765,26.219434068806,26.565076712486107,160600
2019-02-20,27.582258224487305,29.62648541687552,27.315619403671132,28.638935902979668,270600
2019-02-21,27.305740356445312,27.40449567252596,26.91072097572369,27.3353675163498,127200
2019-02-22,26.930477142333984,27.305745148984037,26.77246936231277,27.305745148984037,88800
2019-02-25,26.82184600830078,27.31562079031457,26.81197028662835,27.04898195596281,71100
2019-02-26,26.653961181640625,26.910724281551797,26.278693194755814,26.80209323215828,208200
2019-02-27,27.029232025146484,27.61188452701056,26.25894269768348,26.495954363764106,406000
2019-02-28,27.453876495361328,27.592134711995524,26.950227886855302,27.06873277699745,125800
2019-03-01,27.562509536743164,27.641513430406437,27.177365790584894,27.523008531712232,122100
2019-03-04,26.910720825195312,27.59213043037917,26.792214069841215,27.562503270640406,128400
2019-03-05,26.89097023010254,27.513127418953825,26.62433143488056,27.06872942691719,117900
