contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
GOOG280121C00125000,2026-02-05 15:26:26+00:00,125.0,203.97,208.0,212.0,0.0,0.0,3.0,43.0,0.6293066854858399,True,REGULAR,USD,call,2028-01-21
GOOG280121C00130000,2026-01-08 18:47:30+00:00,130.0,209.0,203.5,208.0,0.0,0.0,2.0,47.0,0.6194496063232424,True,REGULAR,USD,call,2028-01-21
GOOG280121C00135000,2026-01-21 18:35:00+00:00,135.0,205.33,199.5,203.5,0.0,0.0,3.0,5.0,0.6095620098876955,True,REGULAR,USD,call,2028-01-21
GOOG280121C00140000,2026-02-05 15:11:07+00:00,140.0,202.47,195.0,199.5,9.059998,4.684348,3.0,55.0,0.5995828616333009,True,REGULAR,USD,call,2028-01-21
GOOG280121C00145000,2026-01-08 14:52:33+00:00,145.0,193.7,191.0,195.0,0.0,0.0,2.0,7.0,0.5896342306518555,True,REGULAR,USD,call,2028-01-21
GOOG280121C00150000,2026-02-06 20:36:14+00:00,150.0,188.0,186.95,191.0,-10.050003,-5.0744777,2.0,139.0,0.582737326965332,True,REGULAR,USD,call,2028-01-21
GOOG280121C00155000,2026-02-05 14:54:59+00:00,155.0,185.25,183.0,187.0,0.0,0.0,4.0,28.0,0.5762676651000976,True,REGULAR,USD,call,2028-01-21
GOOG280121C00160000,2026-02-06 18:32:54+00:00,160.0,180.5,179.0,182.5,-11.0,-5.7441254,40.0,227.0,0.5660443786621094,True,REGULAR,USD,call,2028-01-21
GOOG280121C00165000,2026-02-03 18:49:47+00:00,165.0,176.56,175.0,178.5,-16.309998,-8.456472,8.0,61.0,0.5589033367919922,True,REGULAR,USD,call,2028-01-21
GOOG280121C00170000,2026-01-28 16:45:44+00:00,170.0,182.62,171.0,173.85,0.0,0.0,2.0,68.0,0.5477492735290528,True,REGULAR,USD,call,2028-01-21
GOOG280121C00175000,2026-02-06 14:52:08+00:00,175.0,171.7,167.0,170.05,-10.300003,-5.6593423,12.0,67.0,0.5415084912109377,True,REGULAR,USD,call,2028-01-21
GOOG280121C00180000,2026-02-06 20:22:30+00:00,180.0,164.15,163.0,166.15,-7.050003,-4.1179924,6.0,363.0,0.5344895184326173,True,REGULAR,USD,call,2028-01-21
GOOG280121C00185000,2026-02-05 20:23:41+00:00,185.0,167.2,159.0,162.15,0.0,0.0,2.0,78.0,0.526768648376465,True,REGULAR,USD,call,2028-01-21
GOOG280121C00190000,2026-02-06 15:01:08+00:00,190.0,155.85,155.5,158.4,-7.649994,-4.6788955,1.0,96.0,0.5227098510742187,True,REGULAR,USD,call,2028-01-21
GOOG280121C00195000,2026-02-06 20:11:43+00:00,195.0,152.5,151.5,154.5,-12.559998,-7.6093526,2.0,82.0,0.5151415673828125,True,REGULAR,USD,call,2028-01-21
GOOG280121C00200000,2026-02-06 20:39:41+00:00,200.0,148.59,147.6,150.8,-7.4100037,-4.7500024,5.0,406.0,0.508870267791748,True,REGULAR,USD,call,2028-01-21
GOOG280121C00210000,2026-02-02 15:45:16+00:00,210.0,160.0,140.5,143.65,0.0,0.0,1.0,249.0,0.5138445832824707,True,REGULAR,USD,call,2028-01-21
GOOG280121C00220000,2026-02-06 16:51:09+00:00,220.0,134.75,134.0,136.55,-5.25,-3.7500002,2.0,492.0,0.5032398309326171,True,REGULAR,USD,call,2028-01-21
GOOG280121C00230000,2026-02-05 18:49:58+00:00,230.0,129.3,126.5,129.2,0.0,0.0,9.0,135.0,0.4898274894714357,True,REGULAR,USD,call,2028-01-21
GOOG280121C00240000,2026-02-06 20:42:19+00:00,240.0,120.95,120.0,123.05,-6.7000046,-5.2487307,10.0,279.0,0.48483791534423826,True,REGULAR,USD,call,2028-01-21
GOOG280121C00250000,2026-02-06 20:57:53+00:00,250.0,115.42,114.75,115.7,-5.580002,-4.611572,54.0,1376.0,0.46994548614501963,True,REGULAR,USD,call,2028-01-21
GOOG280121C00260000,2026-02-06 20:18:29+00:00,260.0,108.48,107.85,110.4,0.5400009,0.5002788,164.0,934.0,0.4687553125,True,REGULAR,USD,call,2028-01-21
GOOG280121C00270000,2026-02-05 20:13:26+00:00,270.0,109.87,101.8,104.65,0.0,0.0,8.0,445.0,0.46309435836791996,True,REGULAR,USD,call,2028-01-21
GOOG280121C00280000,2026-02-06 18:31:40+00:00,280.0,98.45,96.1,99.05,-4.790001,-4.6396756,57.0,715.0,0.457311335144043,True,REGULAR,USD,call,2028-01-21
GOOG280121C00290000,2026-02-06 19:35:40+00:00,290.0,92.5,90.75,93.55,-0.30000305,-0.32327914,23.0,519.0,0.45111632873535157,True,REGULAR,USD,call,2028-01-21
GOOG280121C00300000,2026-02-06 20:47:10+00:00,300.0,86.9,85.15,88.45,-0.099998474,-0.11494077,102.0,5451.0,0.4463708927917481,True,REGULAR,USD,call,2028-01-21
GOOG280121C00310000,2026-02-06 20:15:08+00:00,310.0,81.28,80.0,83.55,0.02999878,0.036921572,4.0,1137.0,0.4417933018493652,True,REGULAR,USD,call,2028-01-21
GOOG280121C00320000,2026-02-06 20:54:32+00:00,320.0,78.0,75.5,78.85,-4.6399994,-5.6147137,127.0,1482.0,0.4373835559082031,True,REGULAR,USD,call,2028-01-21
GOOG280121C00325000,2026-02-06 17:34:48+00:00,325.0,74.75,73.0,76.6,-0.25,-0.33333334,11.0,330.0,0.4353846745300293,False,REGULAR,USD,call,2028-01-21
GOOG280121C00330000,2026-02-06 19:04:59+00:00,330.0,74.18,71.05,74.25,-4.8199997,-6.1012654,32.0,864.0,0.43256182678222654,False,REGULAR,USD,call,2028-01-21
GOOG280121C00335000,2026-02-06 19:55:46+00:00,335.0,70.0,69.35,71.5,-4.1900024,-5.6476645,4.0,124.0,0.42723656265258797,False,REGULAR,USD,call,2028-01-21
GOOG280121C00340000,2026-02-06 20:44:10+00:00,340.0,68.5,66.6,70.2,-4.169998,-5.7382665,4.0,429.0,0.4299373413085938,False,REGULAR,USD,call,2028-01-21
GOOG280121C00345000,2026-02-06 15:49:02+00:00,345.0,66.45,65.1,68.15,-5.1600037,-7.2057023,4.0,186.0,0.428113934249878,False,REGULAR,USD,call,2028-01-21
GOOG280121C00350000,2026-02-06 20:57:53+00:00,350.0,64.63,64.3,64.85,-4.0699997,-5.9243083,33.0,767.0,0.4190350455474854,False,REGULAR,USD,call,2028-01-21
GOOG280121C00355000,2026-02-06 15:57:02+00:00,355.0,61.37,62.45,62.85,-1.0300026,-1.6506453,1.0,108.0,0.4170590521240234,False,REGULAR,USD,call,2028-01-21
GOOG280121C00360000,2026-02-06 20:11:22+00:00,360.0,60.5,60.55,61.1,-0.25,-0.41152263,3.0,394.0,0.4162503443908691,False,REGULAR,USD,call,2028-01-21
GOOG280121C00365000,2026-02-05 16:42:42+00:00,365.0,60.24,58.6,59.15,0.0,0.0,3.0,75.0,0.4140988766479492,False,REGULAR,USD,call,2028-01-21
GOOG280121C00370000,2026-02-06 19:59:30+00:00,370.0,56.48,56.7,57.35,-0.79999924,-1.3966467,20.0,402.0,0.4125577543640136,False,REGULAR,USD,call,2028-01-21
GOOG280121C00375000,2026-02-06 18:09:54+00:00,375.0,56.73,55.3,55.75,-3.170002,-5.2921567,5.0,79.0,0.41190163299560545,False,REGULAR,USD,call,2028-01-21
GOOG280121C00380000,2026-02-06 20:39:23+00:00,380.0,53.4,53.6,54.05,-4.989998,-8.54598,8.0,362.0,0.41046732116699214,False,REGULAR,USD,call,2028-01-21
GOOG280121C00385000,2026-02-06 18:11:09+00:00,385.0,53.2,51.9,52.45,-5.919998,-10.013529,1.0,26.0,0.4093763286590576,False,REGULAR,USD,call,2028-01-21
GOOG280121C00390000,2026-02-06 19:05:37+00:00,390.0,51.85,50.45,50.9,1.5900002,3.1635501,22.0,327.0,0.4083540000152588,False,REGULAR,USD,call,2028-01-21
GOOG280121C00395000,2026-02-05 14:30:10+00:00,395.0,44.71,48.85,49.3,0.0,0.0,1.0,70.0,0.40684339500427247,False,REGULAR,USD,call,2028-01-21
GOOG280121C00400000,2026-02-06 20:53:48+00:00,400.0,48.29,47.45,47.95,-3.959999,-7.578946,37.0,1178.0,0.40651533432006837,False,REGULAR,USD,call,2028-01-21
GOOG280121C00405000,2026-02-05 17:08:56+00:00,405.0,46.5,46.0,46.55,0.0,0.0,1.0,304.0,0.4057142559051513,False,REGULAR,USD,call,2028-01-21
GOOG280121C00410000,2026-02-06 20:54:08+00:00,410.0,45.4,44.65,45.1,0.70000076,1.5659971,5.0,914.0,0.40444015975952147,False,REGULAR,USD,call,2028-01-21
GOOG280121C00420000,2026-02-05 17:25:03+00:00,420.0,42.0,42.05,42.5,-0.5,-1.1764706,2.0,76.0,0.4029829599761964,False,REGULAR,USD,call,2028-01-21
GOOG280121C00430000,2026-02-06 20:34:25+00:00,430.0,40.05,39.55,40.05,-0.42000198,-1.0378107,9.0,1436.0,0.40163257064819335,False,REGULAR,USD,call,2028-01-21
GOOG280121C00440000,2026-02-06 20:48:40+00:00,440.0,37.34,37.25,37.75,-5.209999,-12.244416,2.0,240.0,0.4004271383666992,False,REGULAR,USD,call,2028-01-21
