contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
GOOG260213C00160000,2026-01-30 19:08:55+00:00,160.0,179.96,162.1,165.6,0.0,0.0,2.0,3,2.583011354980469,True,REGULAR,USD,call,2026-02-13
GOOG260213C00170000,2026-02-06 17:37:37+00:00,170.0,152.8,151.8,155.65,-14.37999,-8.601501,4.0,10,2.3144573388671867,True,REGULAR,USD,call,2026-02-13
GOOG260213C00175000,2026-02-06 17:26:06+00:00,175.0,147.58,147.0,150.4,-8.4900055,-5.43987,2.0,1,2.2060591723632808,True,REGULAR,USD,call,2026-02-13
GOOG260213C00180000,2026-02-06 16:20:14+00:00,180.0,142.18,142.1,145.55,-21.390015,-13.076979,9.0,11,2.1806686108398434,True,REGULAR,USD,call,2026-02-13
GOOG260213C00190000,2026-01-15 15:39:58+00:00,190.0,140.0,131.75,135.8,-4.2899933,-2.9731746,1.0,1,1.9785157324218752,True,REGULAR,USD,call,2026-02-13
GOOG260213C00195000,2026-02-03 15:08:30+00:00,195.0,148.32,126.95,130.7,0.0,0.0,2.0,4,1.9160160449218753,True,REGULAR,USD,call,2026-02-13
GOOG260213C00205000,2026-02-05 17:28:04+00:00,205.0,118.96,117.3,120.6,0.0,0.0,7.0,6,1.7978525732421873,True,REGULAR,USD,call,2026-02-13
GOOG260213C00210000,2026-02-04 17:56:12+00:00,210.0,113.74,112.35,115.65,-7.9100037,-6.502263,3.0,24,1.7333997705078126,True,REGULAR,USD,call,2026-02-13
GOOG260213C00215000,2026-02-02 17:43:08+00:00,215.0,128.4,107.5,110.65,0.0,0.0,1.0,2,1.6767594287109375,True,REGULAR,USD,call,2026-02-13
GOOG260213C00220000,2026-02-05 20:04:53+00:00,220.0,107.96,102.15,105.7,-2.1299973,-1.9347781,1.0,2,1.5468772656249998,True,REGULAR,USD,call,2026-02-13
GOOG260213C00225000,2026-02-06 14:30:04+00:00,225.0,105.05,97.5,100.6,-1.5999985,-1.5002329,1.0,142,1.5087915185546876,True,REGULAR,USD,call,2026-02-13
GOOG260213C00230000,2026-02-06 16:58:42+00:00,230.0,92.62,92.3,95.6,-13.379997,-12.62264,1.0,2,1.4013701806640624,True,REGULAR,USD,call,2026-02-13
GOOG260213C00235000,2026-01-30 19:20:23+00:00,235.0,104.37,88.0,90.7,0.0,0.0,,4,1.4321317456054685,True,REGULAR,USD,call,2026-02-13
GOOG260213C00240000,2026-02-06 15:45:25+00:00,240.0,83.44,82.5,85.65,0.6399994,0.7729461,5.0,8,1.2861363818359375,True,REGULAR,USD,call,2026-02-13
GOOG260213C00250000,2026-02-06 15:50:01+00:00,250.0,73.45,73.05,75.6,-6.050003,-7.610067,2.0,21,1.1948282446289062,True,REGULAR,USD,call,2026-02-13
GOOG260213C00260000,2026-02-06 14:55:05+00:00,260.0,65.52,63.05,65.65,6.8399963,11.656436,2.0,13,1.0500535778808593,True,REGULAR,USD,call,2026-02-13
GOOG260213C00265000,2026-02-06 19:54:37+00:00,265.0,58.26,57.5,60.75,-0.6100006,-1.0361825,2.0,64,0.9333502758789063,True,REGULAR,USD,call,2026-02-13
GOOG260213C00270000,2026-02-06 19:58:58+00:00,270.0,52.98,52.6,55.85,-1.5200005,-2.7889917,5.0,13,0.8808605664062499,True,REGULAR,USD,call,2026-02-13
GOOG260213C00275000,2026-02-06 18:20:45+00:00,275.0,50.82,47.6,50.7,-0.15000153,-0.29429373,6.0,29,0.7963887548828125,True,REGULAR,USD,call,2026-02-13
GOOG260213C00280000,2026-02-06 20:40:46+00:00,280.0,42.85,42.65,45.6,-5.380001,-11.154885,21.0,36,0.7216824707031251,True,REGULAR,USD,call,2026-02-13
GOOG260213C00285000,2026-02-06 19:28:25+00:00,285.0,40.45,37.5,40.2,-0.049999237,-0.12345491,11.0,61,0.6049844189453126,True,REGULAR,USD,call,2026-02-13
GOOG260213C00290000,2026-02-06 20:04:56+00:00,290.0,33.07,32.5,35.9,-3.2999992,-9.07341,7.0,64,0.5922892333984376,True,REGULAR,USD,call,2026-02-13
GOOG260213C00295000,2026-02-06 19:44:35+00:00,295.0,29.0,27.55,31.1,-7.6399994,-20.851526,8.0,64,0.5366257275390626,True,REGULAR,USD,call,2026-02-13
GOOG260213C00300000,2026-02-06 20:57:42+00:00,300.0,24.15,23.25,25.05,-8.1,-25.11628,113.0,86,0.5380905566406251,True,REGULAR,USD,call,2026-02-13
GOOG260213C00305000,2026-02-06 20:25:14+00:00,305.0,19.53,19.4,19.85,-9.369999,-32.422142,260.0,175,0.4387263159179688,True,REGULAR,USD,call,2026-02-13
GOOG260213C00307500,2026-02-06 20:39:15+00:00,307.5,16.77,16.35,18.35,-8.949999,-34.79782,61.0,86,0.4781546325683594,True,REGULAR,USD,call,2026-02-13
