contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
GOOG260320C00245000,2026-02-06 20:45:29+00:00,245.0,79.69,79.15,82.05,-8.309998,-9.443179,1.0,747,0.6137733935546876,True,REGULAR,USD,call,2026-03-20
GOOG260320C00250000,2026-02-06 20:11:13+00:00,250.0,74.6,74.2,77.35,-9.300003,-11.084628,73.0,11951,0.5893595751953126,True,REGULAR,USD,call,2026-03-20
GOOG260320C00255000,2026-02-06 15:58:01+00:00,255.0,68.28,69.25,72.6,-7.8899994,-10.358408,2.0,629,0.5627485131835939,True,REGULAR,USD,call,2026-03-20
GOOG260320C00260000,2026-02-06 17:05:50+00:00,260.0,64.25,64.6,67.25,-4.959999,-7.1665936,11.0,1776,0.5277146838378908,True,REGULAR,USD,call,2026-03-20
GOOG260320C00265000,2026-02-06 15:12:25+00:00,265.0,61.03,59.85,63.05,-2.4500008,-3.8594847,5.0,1062,0.5189257092285156,True,REGULAR,USD,call,2026-03-20
GOOG260320C00270000,2026-02-06 20:20:09+00:00,270.0,56.1,55.4,57.0,-7.5,-11.792454,22.0,10407,0.5076953527832031,True,REGULAR,USD,call,2026-03-20
GOOG260320C00275000,2026-02-06 17:57:00+00:00,275.0,53.0,50.85,52.35,-5.459999,-9.339718,8.0,1383,0.48541774353027345,True,REGULAR,USD,call,2026-03-20
GOOG260320C00280000,2026-02-06 20:07:23+00:00,280.0,46.4,46.2,47.75,-9.0,-16.245487,19.0,1818,0.46344530700683595,True,REGULAR,USD,call,2026-03-20
GOOG260320C00285000,2026-02-06 17:26:31+00:00,285.0,40.9,41.8,43.3,-8.0,-16.359919,6.0,2255,0.4448908050537109,True,REGULAR,USD,call,2026-03-20
GOOG260320C00290000,2026-02-06 18:47:39+00:00,290.0,39.6,37.5,38.95,-5.5600014,-12.311784,7.0,4495,0.4270687176513672,True,REGULAR,USD,call,2026-03-20
GOOG260320C00295000,2026-02-06 18:46:48+00:00,295.0,35.46,33.4,34.7,-5.7400017,-13.932043,45.0,823,0.4094297338867187,True,REGULAR,USD,call,2026-03-20
GOOG260320C00300000,2026-02-06 20:57:00+00:00,300.0,29.61,29.6,30.6,-7.84,-20.934578,186.0,4432,0.39288937194824214,True,REGULAR,USD,call,2026-03-20
GOOG260320C00305000,2026-02-06 19:55:55+00:00,305.0,27.39,25.8,26.8,-5.9300003,-17.79712,89.0,782,0.3806214282226562,True,REGULAR,USD,call,2026-03-20
GOOG260320C00310000,2026-02-06 20:14:18+00:00,310.0,22.5,22.6,22.75,-7.200001,-24.242426,112.0,1585,0.3577945080566406,True,REGULAR,USD,call,2026-03-20
GOOG260320C00315000,2026-02-06 20:54:03+00:00,315.0,19.95,19.5,19.65,-6.75,-25.2809,71.0,2111,0.35358312438964834,True,REGULAR,USD,call,2026-03-20
GOOG260320C00320000,2026-02-06 20:59:13+00:00,320.0,16.45,16.55,16.65,-7.549999,-31.45833,922.0,4137,0.3460148406982422,True,REGULAR,USD,call,2026-03-20
GOOG260320C00325000,2026-02-06 20:58:59+00:00,325.0,13.8,13.6,13.75,-6.3,-31.343285,1254.0,1713,0.3349065533447265,False,REGULAR,USD,call,2026-03-20
GOOG260320C00330000,2026-02-06 20:57:42+00:00,330.0,11.4,11.3,11.45,-6.050001,-34.670494,706.0,3930,0.33148861877441405,False,REGULAR,USD,call,2026-03-20
GOOG260320C00335000,2026-02-06 20:57:42+00:00,335.0,9.45,9.25,9.4,-5.3500004,-36.14865,183.0,4097,0.32770447692871096,False,REGULAR,USD,call,2026-03-20
GOOG260320C00340000,2026-02-06 20:53:13+00:00,340.0,7.55,7.6,7.7,-5.05,-40.079365,938.0,14058,0.3261175787353515,False,REGULAR,USD,call,2026-03-20
GOOG260320C00345000,2026-02-06 20:59:37+00:00,345.0,6.1,5.95,6.1,-4.35,-41.626793,426.0,5031,0.3208686077880859,False,REGULAR,USD,call,2026-03-20
GOOG260320C00350000,2026-02-06 20:59:54+00:00,350.0,4.78,4.75,4.85,-3.9499993,-45.246273,2451.0,10986,0.31867136413574215,False,REGULAR,USD,call,2026-03-20
GOOG260320C00355000,2026-02-06 20:58:57+00:00,355.0,3.78,3.75,3.85,-3.6699998,-49.26174,363.0,1764,0.31793894958496094,False,REGULAR,USD,call,2026-03-20
GOOG260320C00360000,2026-02-06 20:59:30+00:00,360.0,3.0,2.91,2.98,-3.0500002,-50.413227,1101.0,6696,0.31555860229492183,False,REGULAR,USD,call,2026-03-20
GOOG260320C00365000,2026-02-06 20:38:36+00:00,365.0,2.21,2.27,2.33,-2.5099998,-53.177963,444.0,1894,0.3154975677490234,False,REGULAR,USD,call,2026-03-20
GOOG260320C00370000,2026-02-06 20:59:35+00:00,370.0,1.8,1.8,1.82,-2.3,-56.09756,447.0,5780,0.3161079132080078,False,REGULAR,USD,call,2026-03-20
GOOG260320C00375000,2026-02-06 20:53:10+00:00,375.0,1.43,1.4,1.44,-1.87,-56.666668,851.0,1767,0.31830515686035155,False,REGULAR,USD,call,2026-03-20
GOOG260320C00380000,2026-02-06 20:58:09+00:00,380.0,1.12,1.12,1.12,-1.4599999,-56.589146,5521.0,14140,0.3194648132324218,False,REGULAR,USD,call,2026-03-20
GOOG260320C00385000,2026-02-06 20:53:51+00:00,385.0,0.95,0.86,0.9,-1.1599998,-54.976295,320.0,916,0.323126885986328,False,REGULAR,USD,call,2026-03-20
GOOG260320C00390000,2026-02-06 20:59:35+00:00,390.0,0.71,0.69,0.72,-0.99000007,-58.235294,413.0,1361,0.32642275146484373,False,REGULAR,USD,call,2026-03-20
