contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
AAPL260206C00240000,2026-02-06 16:55:02+00:00,240.0,39.56,38.95,39.8,3.4500008,9.554142,183.0,972.0,2.124028127441406,True,REGULAR,USD,call,2026-02-06
AAPL260206C00242500,2026-02-06 15:19:18+00:00,242.5,36.44,36.15,37.45,2.9899979,8.938708,2.0,234.0,1.9775391748046878,True,REGULAR,USD,call,2026-02-06
AAPL260206C00245000,2026-02-06 16:56:20+00:00,245.0,34.3,33.7,34.85,2.6999989,8.5443,63.0,454.0,1.8544929150390623,True,REGULAR,USD,call,2026-02-06
AAPL260206C00247500,2026-02-06 16:56:20+00:00,247.5,31.9,31.25,32.4,3.5299988,12.442717,64.0,878.0,1.7626964990234375,True,REGULAR,USD,call,2026-02-06
AAPL260206C00250000,2026-02-06 16:53:38+00:00,250.0,29.58,28.45,29.85,2.0300007,7.3684235,19.0,2385.0,1.5781271093749998,True,REGULAR,USD,call,2026-02-06
AAPL260206C00252500,2026-02-06 17:08:10+00:00,252.5,26.81,26.65,27.05,3.1099987,13.122357,37.0,1822.0,1.544435871582031,True,REGULAR,USD,call,2026-02-06
AAPL260206C00255000,2026-02-06 17:03:55+00:00,255.0,24.41,24.1,24.5,3.0,14.012144,125.0,1958.0,1.4116240356445315,True,REGULAR,USD,call,2026-02-06
AAPL260206C00257500,2026-02-06 17:09:58+00:00,257.5,21.81,21.6,22.0,2.3400002,12.018491,278.0,3530.0,1.2968785156249998,True,REGULAR,USD,call,2026-02-06
AAPL260206C00260000,2026-02-06 17:09:25+00:00,260.0,19.37,19.15,19.45,3.5700006,22.59494,4321.0,11059.0,1.1806681591796875,True,REGULAR,USD,call,2026-02-06
AAPL260206C00262500,2026-02-06 16:51:46+00:00,262.5,17.24,16.65,17.0,3.1599998,22.443182,1181.0,8820.0,1.070805427246094,True,REGULAR,USD,call,2026-02-06
AAPL260206C00265000,2026-02-06 17:08:49+00:00,265.0,14.15,14.25,14.5,2.9899998,26.792112,4301.0,9282.0,0.9648441015625,True,REGULAR,USD,call,2026-02-06
AAPL260206C00267500,2026-02-06 17:04:15+00:00,267.5,11.91,11.65,12.0,3.1599998,36.114285,1683.0,4186.0,0.8276384423828124,True,REGULAR,USD,call,2026-02-06
AAPL260206C00270000,2026-02-06 17:09:02+00:00,270.0,9.32,9.15,9.5,2.8999996,45.171333,1915.0,15542.0,0.700198310546875,True,REGULAR,USD,call,2026-02-06
AAPL260206C00272500,2026-02-06 17:10:03+00:00,272.5,6.88,6.7,7.05,2.48,56.363636,2504.0,8585.0,0.5776409423828125,True,REGULAR,USD,call,2026-02-06
AAPL260206C00275000,2026-02-06 17:09:57+00:00,275.0,4.35,4.2,4.5,1.7099998,64.77272,4385.0,14564.0,0.4567925415039063,True,REGULAR,USD,call,2026-02-06
AAPL260206C00277500,2026-02-06 17:10:32+00:00,277.5,2.03,2.05,2.09,0.73,56.153847,22527.0,15393.0,0.301764794921875,True,REGULAR,USD,call,2026-02-06
AAPL260206C00280000,2026-02-06 17:10:42+00:00,280.0,0.47,0.46,0.48,-0.030000001,-6.0,96054.0,33958.0,0.20313296874999998,False,REGULAR,USD,call,2026-02-06
AAPL260206C00282500,2026-02-06 17:08:35+00:00,282.5,0.08,0.07,0.08,-0.09,-56.25,54416.0,14214.0,0.195320546875,False,REGULAR,USD,call,2026-02-06
AAPL260206C00285000,2026-02-06 17:10:45+00:00,285.0,0.02,0.02,0.03,-0.030000001,-60.0,32034.0,19575.0,0.23438265625,False,REGULAR,USD,call,2026-02-06
AAPL260206C00287500,2026-02-06 17:06:53+00:00,287.5,0.01,0.01,0.02,0.0,0.0,11351.0,6061.0,0.28516339843749994,False,REGULAR,USD,call,2026-02-06
AAPL260206C00290000,2026-02-06 16:50:50+00:00,290.0,0.01,0.0,0.01,0.0,0.0,8421.0,12290.0,0.32031929687499994,False,REGULAR,USD,call,2026-02-06
AAPL260206C00295000,2026-02-06 15:46:53+00:00,295.0,0.01,0.0,0.01,0.0,0.0,132.0,6509.0,0.437505625,False,REGULAR,USD,call,2026-02-06
AAPL260206C00300000,2026-02-05 20:53:58+00:00,300.0,0.01,0.0,0.01,0.0,0.0,3.0,10436.0,0.500005,False,REGULAR,USD,call,2026-02-06
AAPL260206C00305000,2026-02-06 15:52:55+00:00,305.0,0.01,0.0,0.01,0.0,0.0,2.0,900.0,0.6093789062500001,False,REGULAR,USD,call,2026-02-06
AAPL260206C00310000,2026-02-04 20:26:55+00:00,310.0,0.01,0.0,0.01,0.0,0.0,2.0,214.0,0.70312796875,False,REGULAR,USD,call,2026-02-06
AAPL260206C00315000,2026-02-02 20:44:12+00:00,315.0,0.01,0.0,0.01,0.0,0.0,8.0,908.0,0.79687703125,False,REGULAR,USD,call,2026-02-06
AAPL260206C00320000,2026-02-03 18:42:39+00:00,320.0,0.03,0.0,0.01,0.0,0.0,2.0,216.0,0.87500125,False,REGULAR,USD,call,2026-02-06
AAPL260206C00325000,2026-02-02 17:38:14+00:00,325.0,0.01,0.0,0.01,-0.01,-50.0,1.0,390.0,0.9687503125,False,REGULAR,USD,call,2026-02-06
AAPL260206C00330000,2026-02-04 14:30:05+00:00,330.0,0.01,0.0,0.01,0.0,0.0,4.0,359.0,1.0625046875000002,False,REGULAR,USD,call,2026-02-06
AAPL260206C00335000,2026-01-30 20:22:20+00:00,335.0,0.05,0.0,0.01,0.0,0.0,3.0,7.0,1.15625421875,False,REGULAR,USD,call,2026-02-06
AAPL260206C00340000,2026-02-02 14:45:03+00:00,340.0,0.01,0.0,0.01,-0.03,-75.0,3.0,3.0,1.2500037499999999,False,REGULAR,USD,call,2026-02-06
AAPL260206C00345000,2026-01-06 17:32:54+00:00,345.0,0.04,0.0,0.01,0.0,0.0,,1.0,1.3125034374999998,False,REGULAR,USD,call,2026-02-06
AAPL260206C00350000,2026-01-22 14:30:14+00:00,350.0,0.03,0.0,0.01,0.0,0.0,1.0,27.0,1.3750031249999999,False,REGULAR,USD,call,2026-02-06
AAPL260206C00385000,2026-01-30 18:45:57+00:00,385.0,0.01,,0.01,0.0,0.0,,1.0,2.031254921875,False,REGULAR,USD,call,2026-02-06
AAPL260206C00400000,2026-02-05 17:05:51+00:00,400.0,0.01,,0.01,0.0,0.0,1.0,112.0,2.2187544531249994,False,REGULAR,USD,call,2026-02-06
AAPL260206P00130000,2026-02-04 14:35:24+00:00,130.0,0.08,0.0,0.01,0.0,0.0,2.0,57.0,4.375004531249999,False,REGULAR,USD,put,2026-02-06
AAPL260206P00140000,2026-01-30 20:44:11+00:00,140.0,0.01,0.0,0.01,0.0,0.0,200.0,1272.0,3.93750015625,False,REGULAR,USD,put,2026-02-06
AAPL260206P00145000,2026-02-05 18:43:31+00:00,145.0,0.01,0.0,0.01,0.0,0.0,4.0,6134.0,3.750000625,False,REGULAR,USD,put,2026-02-06
AAPL260206P00150000,2026-02-06 15:52:06+00:00,150.0,0.01,0.0,0.15,-0.049999997,-83.333336,1.0,5.0,4.562504296875,False,REGULAR,USD,put,2026-02-06
AAPL260206P00155000,2026-02-05 14:58:07+00:00,155.0,0.13,,0.15,0.0,0.0,1.0,2.0,4.710941611328124,False,REGULAR,USD,put,2026-02-06
AAPL260206P00165000,2026-02-02 14:40:32+00:00,165.0,0.01,,0.04,0.0,0.0,,29.0,3.6562508593750005,False,REGULAR,USD,put,2026-02-06
AAPL260206P00170000,2026-02-05 16:09:03+00:00,170.0,0.01,0.0,0.15,0.0,0.0,1.0,12.0,3.7031257421875,False,REGULAR,USD,put,2026-02-06
AAPL260206P00175000,2026-01-29 20:59:26+00:00,175.0,0.01,0.0,0.15,0.0,0.0,3.0,50.0,3.50781373046875,False,REGULAR,USD,put,2026-02-06
AAPL260206P00180000,2026-01-30 15:02:59+00:00,180.0,0.01,0.0,0.15,0.0,0.0,21.0,120.0,3.3125017187499997,False,REGULAR,USD,put,2026-02-06
AAPL260206P00185000,2026-01-30 20:37:38+00:00,185.0,0.01,0.0,0.14,0.0,0.0,4.0,622.0,3.0937522656249996,False,REGULAR,USD,put,2026-02-06
AAPL260206P00190000,2026-02-02 18:40:46+00:00,190.0,0.01,0.0,0.01,0.0,0.0,3.0,1090.0,2.2500043749999996,False,REGULAR,USD,put,2026-02-06
AAPL260206P00195000,2026-02-04 18:50:58+00:00,195.0,0.01,0.0,0.01,0.0,0.0,102.0,2591.0,2.1250046874999997,False,REGULAR,USD,put,2026-02-06
AAPL260206P00200000,2026-02-04 18:51:09+00:00,200.0,0.01,0.0,0.01,0.0,0.0,711.0,4638.0,1.96875015625,False,REGULAR,USD,put,2026-02-06
AAPL260206P00205000,2026-02-03 20:52:35+00:00,205.0,0.01,0.02,0.01,0.0,0.0,3.0,382.0,2.031254921875,False,REGULAR,USD,put,2026-02-06
AAPL260206P00210000,2026-02-05 18:12:36+00:00,210.0,0.01,0.0,0.02,0.0,0.0,2.0,1060.0,1.8125009374999999,False,REGULAR,USD,put,2026-02-06
AAPL260206P00212500,2026-02-06 14:30:01+00:00,212.5,0.01,0.0,0.01,0.0,0.0,2.0,175.0,1.625001875,False,REGULAR,USD,put,2026-02-06
AAPL260206P00215000,2026-02-05 15:24:56+00:00,215.0,0.01,0.0,0.01,0.0,0.0,14.0,1067.0,1.5625021874999998,False,REGULAR,USD,put,2026-02-06
AAPL260206P00217500,2026-02-06 15:30:05+00:00,217.5,0.01,0.0,0.01,-0.03,-75.0,10.0,1322.0,1.5000025,False,REGULAR,USD,put,2026-02-06
AAPL260206P00220000,2026-02-06 15:31:04+00:00,220.0,0.01,0.0,0.01,0.0,0.0,1.0,2386.0,1.4375028125,False,REGULAR,USD,put,2026-02-06
AAPL260206P00222500,2026-02-06 16:09:16+00:00,222.5,0.01,0.0,0.03,0.0,0.0,1.0,504.0,1.5312523437499999,False,REGULAR,USD,put,2026-02-06
AAPL260206P00225000,2026-02-06 16:33:54+00:00,225.0,0.01,0.0,0.01,0.0,0.0,7.0,1169.0,1.3125034374999998,False,REGULAR,USD,put,2026-02-06
AAPL260206P00227500,2026-02-06 16:35:00+00:00,227.5,0.01,0.0,0.01,0.0,0.0,18.0,1218.0,1.2500037499999999,False,REGULAR,USD,put,2026-02-06
