contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiration
AAPL261120C00105000,2026-01-27 14:32:54+00:00,105.0,158.6,175.1,178.15,0.0,0.0,12.0,12,0.7482935327148439,True,REGULAR,USD,call,2026-11-20
AAPL261120C00110000,2026-01-29 20:51:36+00:00,110.0,153.6,170.05,173.7,0.0,0.0,1.0,47,0.7282742016601562,True,REGULAR,USD,call,2026-11-20
AAPL261120C00120000,2026-02-02 17:40:41+00:00,120.0,147.82,160.5,164.25,0.0,0.0,,65,0.6891510577392579,True,REGULAR,USD,call,2026-11-20
AAPL261120C00135000,2026-01-27 15:21:27+00:00,135.0,129.8,146.15,149.85,0.0,0.0,20.0,20,0.6279334082031252,True,REGULAR,USD,call,2026-11-20
AAPL261120C00140000,2026-01-30 16:09:23+00:00,140.0,120.46,141.4,145.05,0.0,0.0,,7,0.6088906298828126,True,REGULAR,USD,call,2026-11-20
AAPL261120C00150000,2026-02-04 20:24:42+00:00,150.0,132.0,133.0,135.2,0.0,0.0,2.0,4,0.5841106042480468,True,REGULAR,USD,call,2026-11-20
AAPL261120C00155000,2026-02-02 20:34:08+00:00,155.0,119.27,127.9,130.9,0.0,0.0,10.0,11,0.5673261041259765,True,REGULAR,USD,call,2026-11-20
AAPL261120C00160000,2026-01-29 19:22:53+00:00,160.0,104.5,123.0,126.25,0.0,0.0,1.0,1,0.5486190158081056,True,REGULAR,USD,call,2026-11-20
AAPL261120C00165000,2026-01-16 15:48:38+00:00,165.0,99.0,118.35,121.15,0.0,0.0,,1,0.5276536492919923,True,REGULAR,USD,call,2026-11-20
AAPL261120C00175000,2026-02-03 14:37:52+00:00,175.0,100.7,109.1,112.45,0.0,0.0,1.0,12,0.5047351773071288,True,REGULAR,USD,call,2026-11-20
AAPL261120C00180000,2026-01-30 15:28:03+00:00,180.0,84.2,105.35,107.1,0.0,0.0,,3,0.5095263891601562,True,REGULAR,USD,call,2026-11-20
AAPL261120C00190000,2026-02-02 20:53:12+00:00,190.0,88.35,96.35,98.1,0.0,0.0,1.0,3,0.4821218780517579,True,REGULAR,USD,call,2026-11-20
AAPL261120C00195000,2026-01-30 20:59:57+00:00,195.0,74.45,91.95,93.6,0.0,0.0,,8,0.46802289794921875,True,REGULAR,USD,call,2026-11-20
AAPL261120C00200000,2026-02-03 14:55:54+00:00,200.0,80.85,87.55,89.25,0.0,0.0,1.0,34,0.4563042651367188,True,REGULAR,USD,call,2026-11-20
AAPL261120C00205000,2026-01-30 19:35:09+00:00,205.0,65.09,83.45,84.95,0.0,0.0,6.0,6,0.4449518395996094,True,REGULAR,USD,call,2026-11-20
AAPL261120C00210000,2026-02-03 20:45:05+00:00,210.0,71.14,79.0,80.6,0.0,0.0,8.0,25,0.43234820587158207,True,REGULAR,USD,call,2026-11-20
AAPL261120C00215000,2026-02-06 16:34:58+00:00,215.0,75.45,74.8,76.35,8.549995,12.780261,1.0,5,0.4208431939697266,True,REGULAR,USD,call,2026-11-20
AAPL261120C00220000,2026-02-06 15:52:00+00:00,220.0,70.92,70.8,72.45,1.4199982,2.0431628,1.0,38,0.4138547384643554,True,REGULAR,USD,call,2026-11-20
AAPL261120C00225000,2026-02-04 20:45:33+00:00,225.0,65.87,67.1,68.45,0.0,0.0,13.0,27,0.4046080047607422,True,REGULAR,USD,call,2026-11-20
AAPL261120C00230000,2026-02-05 15:33:46+00:00,230.0,61.75,62.65,63.95,0.0,0.0,6.0,224,0.3880829014587402,True,REGULAR,USD,call,2026-11-20
AAPL261120C00235000,2026-02-06 15:53:32+00:00,235.0,58.93,58.75,60.35,14.779999,33.47678,1.0,46,0.3827728959655761,True,REGULAR,USD,call,2026-11-20
AAPL261120C00240000,2026-02-06 16:06:55+00:00,240.0,55.69,55.4,56.55,3.1899986,6.076188,11.0,195,0.37399917999267573,True,REGULAR,USD,call,2026-11-20
AAPL261120C00245000,2026-02-06 14:43:41+00:00,245.0,51.82,51.8,52.85,1.5400009,3.06285,1.0,195,0.36557641265869145,True,REGULAR,USD,call,2026-11-20
